si,di,volume_mm3,eig1,eig2,eig3,linearity,planarity,sphericity,covH,covW,covD,components,dataset,case
0.0031344983004784398,3.062515042570297,124793.49284548257,4496.638692049985,1757.8410861245416,288.30693560239484,0.6090766444650338,0.32680725563302854,0.06411609990193759,0.6015625,0.759765625,0.8294573643410853,1,AIIB,AIIB23_100.nii.gz
0.0014093207184379623,3.1830521481285183,88487.32849904489,3505.788961639563,1725.12638985723,362.76503888454823,0.507920639623888,0.3886033545885609,0.10347600578755112,0.44140625,0.576171875,0.7254437869822485,1,AIIB,AIIB23_101.nii.gz
0.0020224547066382964,2.6937148228255503,66116.85332133848,2164.543417091677,1126.8905564650695,179.33677490741093,0.479386485128036,0.43776150391605934,0.08285201095590466,0.34375,0.671875,0.7824143070044709,1,AIIB,AIIB23_102.nii.gz
0.0015677138565605311,2.7161663370343936,83266.48897270094,2657.8170013691297,1244.3382034843492,134.3365039470031,0.5318194582834901,0.41763661642827454,0.05054392528823539,0.416015625,0.58203125,0.6872852233676976,1,AIIB,AIIB23_103.nii.gz
0.0018169794196930134,2.6026999434070803,49123.8563228228,1746.1493010769339,759.9971766211854,122.75665455381748,0.5647581932699233,0.3649404559360137,0.07030135079406302,0.4375,0.666015625,0.6684420772303595,1,AIIB,AIIB23_104.nii.gz
0.0013614774824262739,3.1176464168910236,85306.47710124367,3464.185895421979,1699.4085543447432,279.4882662900966,0.5094349421055723,0.40988570790358336,0.08067934999084442,0.439453125,0.625,0.7601351351351351,1,AIIB,AIIB23_105.nii.gz
0.0023157851501080973,3.1753170921080702,70769.93103027344,3214.214078762395,1488.1301143990486,190.170410164535,0.5370158682858983,0.4038186855102948,0.059165446203806836,0.44921875,0.697265625,0.7924528301886793,1,AIIB,AIIB23_106.nii.gz
0.001215234741835338,2.934155754669876,59609.74988727792,2287.775758252742,1230.8285787284199,199.45714665028214,0.46199771796321126,0.45081841100800624,0.0871838710287825,0.453125,0.591796875,0.6508951406649617,1,AIIB,AIIB23_107.nii.gz
0.0012840645444905099,2.8869785971736306,73841.93042161956,3131.7775461825704,910.9743946926069,163.02778063023246,0.7091190605785445,0.23882494942020127,0.05205599000125425,0.375,0.537109375,0.7300613496932515,1,AIIB,AIIB23_108.nii.gz
0.0013097142488762523,3.145126631481958,88688.61139846758,4426.033573353428,1177.0142715714744,163.96939018610485,0.7340701890158284,0.22888323475093433,0.037046576233237156,0.408203125,0.498046875,0.8433014354066986,1,AIIB,AIIB23_109.nii.gz
0.001179883845899471,3.434367381514485,67488.57590800189,3981.954161750416,1345.3035471737498,175.11018831960803,0.6621499162154163,0.2938741410171683,0.04397594276741544,0.33984375,0.697265625,0.726984126984127,1,AIIB,AIIB23_110.nii.gz
0.0014648092278527999,3.1449712525937574,83703.85041720643,3751.75693907645,1460.6615754050028,169.0488665174616,0.6106726530731583,0.3442687599067893,0.04505858702005238,0.373046875,0.599609375,0.7398190045248869,1,AIIB,AIIB23_111.nii.gz
0.0013498143946870844,3.1592731870603976,61756.27716535742,3097.0735415061,1067.8144829566454,143.29566053602798,0.6552182346831295,0.2985136807474794,0.046268084569391146,0.373046875,0.595703125,0.7393617021276596,1,AIIB,AIIB23_112.nii.gz
0.0015368098706270742,2.7475232446059943,99035.94164285413,3341.802879332914,1283.7121295258266,143.89888374626406,0.615862402458017,0.34107734266094425,0.04306025488103863,0.419921875,0.48046875,0.815929203539823,1,AIIB,AIIB23_113.nii.gz
0.0010117408556815906,3.257480150563727,55153.928513507955,2993.9549201666573,1428.4109829355816,128.5001364856521,0.5229016397962098,0.43417849670815034,0.0429198634956398,0.357421875,0.6640625,0.7987179487179488,1,AIIB,AIIB23_114.nii.gz
0.00244263084071457,2.534073967211753,98849.93496296903,2666.9599863825642,1152.0525369893253,177.2147739038936,0.5680278133636505,0.36552395538850624,0.06644823124784328,0.42578125,0.615234375,0.664968152866242,1,AIIB,AIIB23_115.nii.gz
0.0019089253743489584,2.9127591329732305,57497.06220320852,1884.5612912512788,1537.114856977216,200.82833600783022,0.18436462421626584,0.7090703428818392,0.10656503290189498,0.427734375,0.6796875,0.7362962962962963,1,AIIB,AIIB23_116.nii.gz
0.0010785322922926683,3.0745875156274356,44830.48963592185,2353.9916944455995,999.3607258492066,92.06079483494753,0.5754612353954923,0.38543038752222186,0.03910837708228585,0.328125,0.56640625,0.7115384615384616,1,AIIB,AIIB23_117.nii.gz
0.0008811053107766544,3.6132351504517892,51843.39139752672,3738.6222699512136,1343.89468313184,140.0960602482281,0.6405374530791054,0.3219899032215739,0.037472643699320886,0.328125,0.53515625,0.7811764705882352,1,AIIB,AIIB23_118.nii.gz
0.001311072558487832,3.3290150340424685,72043.07735526377,3698.2680627444315,1571.5144709431681,215.46994938713928,0.5750674520394367,0.3666701543937645,0.05826239356679898,0.4375,0.59375,0.7277657266811279,1,AIIB,AIIB23_119.nii.gz
0.0013874262675417455,3.1024227797653343,62816.87454291692,3278.401824988482,979.2725114468019,107.35485516208706,0.7012957643011797,0.265958141445269,0.03274609425355119,0.388671875,0.6171875,0.7415599534342259,1,AIIB,AIIB23_120.nii.gz
